SHEET,CHAIN,CO_OWNED,STATE,SOUTHJ,CENTRALJ,NORTHJ,PA1,PA2,SHORE,NCALLS,EMPFT,EMPPT,NMGRS,WAGE_ST,PCTAFF,MEALS,OPEN,HRSOPEN,PSODA,PFRY,PENTREE,NREGS,NREGS11,wave,treated,post,did,emp
495,3,0,0,0,0,0,0,1,0,2,4.0,28.0,3.00,5.00,2.0,2,7.0,15.0,1.05,1.01,0.94,3,3,1,0,0,0,32.0
496,3,1,0,0,0,0,0,1,0,0,10.0,15.0,3.00,5.00,0.0,2,6.0,16.0,1.05,0.90,0.73,5,3,1,0,0,0,25.0
499,4,1,0,0,0,0,0,1,0,0,0.0,28.0,5.00,5.00,11.0,2,10.0,12.0,0.90,0.69,1.75,2,2,1,0,0,0,28.0
509,3,1,0,0,0,0,0,1,0,2,3.0,16.0,3.00,5.00,30.0,2,6.0,16.0,1.05,0.95,1.16,6,3,1,0,0,0,19.0
515,3,1,0,0,0,0,0,1,0,0,7.0,16.0,4.00,5.00,33.0,2,6.0,16.0,1.05,0.94,1.16,5,3,1,0,0,0,23.0
37,1,0,0,0,0,0,1,0,0,2,21.0,9.0,7.00,4.25,33.0,2,6.5,16.5,0.98,0.84,0.84,5,3,1,0,0,0,30.0
39,1,0,0,0,0,0,1,0,0,0,1.0,32.0,2.00,4.25,100.0,2,6.5,17.5,1.03,0.73,0.52,4,2,1,0,0,0,33.0
40,1,0,0,0,0,0,1,0,0,0,10.0,20.0,7.00,4.25,100.0,2,6.5,16.5,0.98,0.82,0.80,3,3,1,0,0,0,30.0
41,1,0,0,0,0,0,1,0,0,0,0.0,27.0,6.00,4.25,100.0,2,6.5,16.5,0.98,0.82,0.85,3,3,1,0,0,0,27.0
42,1,0,0,0,0,0,1,0,0,2,17.0,4.0,5.00,4.50,100.0,2,6.5,16.5,0.98,0.83,0.86,3,3,1,0,0,0,21.0
45,1,0,0,0,0,0,1,0,0,0,0.0,24.0,6.00,4.25,25.0,2,7.0,16.0,0.98,0.83,0.86,3,3,1,0,0,0,24.0
47,1,0,0,0,0,0,1,0,0,2,25.0,15.0,.,4.50,75.0,2,6.0,17.0,1.05,0.86,0.86,3,3,1,0,0,0,40.0
48,1,0,0,0,0,0,1,0,0,0,6.0,20.0,3.00,4.25,31.0,3,7.0,14.0,1.01,0.84,0.63,4,3,1,0,0,0,26.0
50,2,0,0,0,0,0,1,0,0,0,6.0,10.0,3.00,4.50,20.0,2,10.0,12.0,1.01,0.89,3.50,4,3,1,0,0,0,16.0
51,2,0,0,0,0,0,1,0,0,1,0.0,15.0,3.00,4.25,100.0,2,10.0,13.0,1.01,0.89,2.35,4,3,1,0,0,0,15.0
57,4,1,0,0,0,0,1,0,0,0,30.0,10.0,3.00,4.67,70.0,2,10.0,12.0,0.87,0.79,0.90,2,2,1,0,0,0,40.0
58,4,1,0,0,0,0,1,0,0,2,8.0,25.0,3.00,4.75,80.0,2,10.0,12.0,0.87,0.77,1.01,2,2,1,0,0,0,33.0
59,4,0,0,0,0,0,1,0,0,3,0.0,15.0,3.00,4.25,90.0,1,7.5,10.5,0.91,0.89,0.81,2,2,1,0,0,0,15.0
60,4,0,0,0,0,0,1,0,0,0,10.0,20.0,5.00,4.25,75.0,1,10.5,11.5,0.94,0.74,0.86,2,2,1,0,0,0,30.0
407,2,1,0,0,0,0,0,1,0,0,2.0,12.0,3.00,4.75,90.0,3,11.0,10.0,0.95,0.74,2.33,4,3,1,0,0,0,14.0
430,1,0,0,0,0,0,1,0,0,0,20.0,25.0,4.00,4.25,44.0,2,7.0,15.0,0.95,0.75,0.80,3,3,1,0,0,0,45.0
432,1,0,0,0,0,0,1,0,0,0,20.0,55.0,5.00,4.50,75.0,2,7.0,16.0,0.94,0.74,0.79,4,3,1,0,0,0,75.0
433,1,0,0,0,0,0,1,0,0,0,10.0,30.0,4.00,4.25,75.0,2,7.0,16.0,0.95,0.73,0.80,3,3,1,0,0,0,40.0
434,1,0,0,0,0,0,1,0,0,2,15.0,50.0,5.00,4.25,77.0,2,7.0,16.0,0.95,0.75,.,3,3,1,0,0,0,65.0
435,1,0,0,0,0,0,1,0,0,1,1.0,37.5,3.00,4.25,25.0,2,6.5,15.5,0.95,0.75,0.79,3,3,1,0,0,0,38.5
438,2,0,0,0,0,0,1,0,0,2,0.0,9.0,3.00,4.25,11.0,2,11.0,8.0,1.01,0.84,2.43,2,1,1,0,0,0,9.0
440,4,0,0,0,0,0,1,0,0,2,0.0,25.0,3.00,4.25,100.0,2,10.5,11.5,0.89,0.79,2.01,2,2,1,0,0,0,25.0
441,4,0,0,0,0,0,1,0,0,2,30.0,10.0,3.00,4.25,100.0,2,10.5,11.5,0.89,0.77,0.84,2,2,1,0,0,0,40.0
443,4,0,0,0,0,0,1,0,0,0,4.0,19.0,4.00,4.25,95.0,2,10.5,11.5,0.89,0.79,1.80,2,2,1,0,0,0,23.0
444,4,0,0,0,0,0,1,0,0,2,12.0,20.0,3.00,4.25,.,2,10.5,12.5,0.89,0.80,0.84,2,2,1,0,0,0,32.0
446,1,0,0,0,0,0,0,1,0,2,,,3.00,4.50,50.0,2,6.0,18.0,1.03,0.84,0.94,.,.,1,0,0,0,
448,1,0,0,0,0,0,0,1,0,0,8.0,18.0,4.00,4.75,78.0,2,6.0,18.0,0.97,0.84,0.91,3,3,1,0,0,0,26.0
449,1,0,0,0,0,0,0,1,0,2,0.0,25.0,3.00,4.87,3.0,2,6.0,18.0,.,.,.,4,4,1,0,0,0,25.0
450,1,0,0,0,0,0,0,1,0,0,2.0,21.0,3.00,4.75,50.0,2,6.5,16.5,0.97,0.82,0.84,3,3,1,0,0,0,23.0
454,2,1,0,0,0,0,0,1,0,0,1.0,9.0,3.00,4.50,.,2,11.0,10.0,0.94,0.73,2.53,4,3,1,0,0,0,10.0
459,3,1,0,0,0,0,0,1,0,0,5.0,20.0,3.00,4.25,.,2,6.0,16.0,1.05,0.90,0.94,5,.,1,0,0,0,25.0
466,4,0,0,0,0,0,0,1,0,2,8.0,17.5,4.00,4.75,65.0,3,10.5,11.5,0.94,0.80,0.94,2,2,1,0,0,0,25.5
471,1,0,0,0,0,0,0,1,0,2,25.0,20.0,4.00,4.25,50.0,2,6.0,18.0,0.97,0.84,0.91,2,2,1,0,0,0,45.0
472,1,0,0,0,0,0,0,1,0,2,37.5,2.0,3.00,4.25,80.0,2,6.5,16.5,0.97,1.05,0.91,3,3,1,0,0,0,39.5
473,1,0,0,0,0,0,0,1,0,0,5.0,27.0,4.00,4.75,50.0,2,6.0,17.0,0.97,0.86,0.89,3,2,1,0,0,0,32.0
475,1,0,0,0,0,0,0,1,0,1,25.0,8.0,3.00,4.50,60.0,1,7.0,15.0,1.02,0.89,0.90,3,3,1,0,0,0,33.0
476,1,0,0,0,0,0,1,0,0,2,6.0,30.0,3.00,4.25,60.0,2,6.0,18.0,0.95,0.79,0.91,3,3,1,0,0,0,36.0
477,1,0,0,0,0,0,0,1,0,1,8.0,28.0,4.00,4.25,50.0,2,6.5,16.5,0.97,0.78,0.99,3,3,1,0,0,0,36.0
478,1,0,0,0,0,0,1,0,0,0,32.0,25.0,4.00,4.50,30.0,2,6.0,19.0,0.97,0.86,0.91,3,3,1,0,0,0,57.0
485,2,1,0,0,0,0,0,1,0,2,1.0,9.0,3.00,4.50,80.0,2,11.0,10.0,0.95,0.74,2.33,4,3,1,0,0,0,10.0
491,3,0,0,0,0,0,0,1,0,0,4.0,25.0,2.00,4.50,100.0,2,8.5,13.0,1.05,0.91,0.95,3,2,1,0,0,0,29.0
492,3,1,0,0,0,0,0,1,0,0,2.0,16.0,3.00,4.50,75.0,2,9.0,12.5,1.11,1.05,0.94,2,1,1,0,0,0,18.0
497,4,1,0,0,0,0,0,1,0,0,12.0,15.0,3.00,4.50,37.0,2,10.0,12.0,0.91,0.84,0.84,2,2,1,0,0,0,27.0
498,4,1,0,0,0,0,0,1,0,2,20.0,10.0,3.00,4.75,75.0,2,10.0,12.0,0.91,0.84,0.85,2,2,1,0,0,0,30.0
501,1,0,0,0,0,0,0,1,0,0,14.0,15.0,3.00,4.25,63.0,2,6.5,16.5,0.84,0.84,0.94,3,3,1,0,0,0,29.0
503,1,0,0,0,0,0,0,1,0,2,7.5,14.0,4.00,4.75,100.0,2,6.5,16.5,0.97,0.84,0.91,3,3,1,0,0,0,21.5
510,3,1,0,0,0,0,0,1,0,0,7.0,25.0,4.00,4.25,60.0,2,6.0,16.0,1.05,0.91,1.05,3,3,1,0,0,0,32.0
511,3,1,0,0,0,0,0,1,0,0,4.0,16.0,3.00,4.75,75.0,2,6.0,16.5,1.01,0.91,1.05,4,4,1,0,0,0,20.0
514,3,0,0,0,0,0,0,1,0,0,5.0,20.0,3.00,4.50,25.0,2,6.0,16.0,0.94,0.90,0.94,5,3,1,0,0,0,25.0
516,3,1,0,0,0,0,0,1,0,2,6.0,22.5,3.00,4.75,23.0,3,6.0,16.0,1.05,0.91,1.05,4,3,1,0,0,0,28.5
521,1,0,0,0,0,0,1,0,0,0,2.5,20.0,3.00,4.25,50.0,2,6.5,16.5,.,.,0.52,4,4,1,0,0,0,22.5
522,1,0,0,0,0,0,1,0,0,2,2.0,30.0,4.00,4.35,75.0,3,7.0,16.0,1.00,0.87,0.94,3,3,1,0,0,0,32.0
113,1,0,1,0,1,0,0,0,0,0,0.0,22.0,4.00,.,.,2,7.0,16.0,1.06,0.95,1.00,4,.,1,1,0,0,22.0
123,1,0,1,0,1,0,0,0,0,0,0.0,20.0,5.00,.,28.0,2,7.0,14.5,1.06,0.95,1.01,2,1,1,1,0,0,20.0
135,3,0,1,0,1,0,0,0,0,0,10.0,20.0,4.00,.,.,0,9.0,12.5,.,.,.,5,3,1,1,0,0,30.0
138,3,1,1,0,0,1,0,0,0,0,4.5,25.5,2.00,.,.,2,10.0,11.5,1.12,1.07,1.06,6,.,1,1,0,0,30.0
153,1,0,1,0,0,1,0,0,0,0,0.0,25.0,9.00,.,33.0,1,7.0,17.0,1.00,0.95,0.89,4,3,1,1,0,0,25.0
181,2,0,1,0,0,1,0,0,0,0,0.0,13.0,3.00,.,100.0,1,10.5,11.0,0.91,0.79,2.34,3,2,1,1,0,0,13.0
191,4,0,1,0,0,1,0,0,0,0,30.0,20.0,4.00,.,.,2,10.5,12.0,1.06,0.95,1.06,.,1,1,1,0,0,50.0
231,1,0,1,0,0,1,0,0,0,1,,10.0,3.00,.,.,2,7.0,16.0,1.02,1.02,0.95,2,2,1,1,0,0,
236,1,0,1,0,0,1,0,0,0,3,0.0,34.0,4.00,.,95.0,1,7.0,17.0,1.18,1.02,1.06,4,3,1,1,0,0,34.0
254,4,0,1,1,0,0,0,0,1,0,20.0,10.0,3.00,.,.,1,7.0,16.0,1.06,0.86,1.06,2,2,1,1,0,0,30.0
255,4,0,1,1,0,0,0,0,0,2,0.0,14.0,3.00,.,10.0,1,7.0,14.0,1.01,0.79,0.85,2,2,1,1,0,0,14.0
294,1,0,1,0,0,1,0,0,0,3,0.0,35.0,3.00,.,70.0,2,7.0,16.0,1.06,0.95,0.95,3,3,1,1,0,0,35.0
306,3,1,1,0,0,1,0,0,0,0,15.0,15.0,3.00,.,.,2,6.0,17.0,1.02,.,1.06,4,4,1,1,0,0,30.0
311,4,0,1,0,0,1,0,0,0,2,0.0,30.0,4.00,.,78.0,2,10.5,11.5,0.91,0.91,1.06,2,2,1,1,0,0,30.0
315,1,0,1,1,0,0,0,0,0,0,5.0,19.0,2.00,.,65.0,3,7.0,16.0,1.00,0.85,0.88,3,2,1,1,0,0,24.0
335,1,1,1,1,0,0,0,0,0,0,9.0,10.0,3.00,.,100.0,1,6.0,17.0,1.06,0.92,0.92,5,2,1,1,0,0,19.0
372,1,1,1,0,0,1,0,0,0,2,0.0,45.0,5.00,.,30.0,3,6.5,19.0,1.10,0.95,1.10,4,.,1,1,0,0,45.0
6,3,1,1,0,1,0,0,0,0,2,2.0,2.0,2.00,5.00,100.0,1,11.0,7.0,1.20,1.17,2.35,4,2,1,1,0,0,4.0
14,2,0,1,0,1,0,0,0,0,0,10.0,8.0,2.00,5.12,0.0,3,11.0,11.0,1.06,0.85,2.49,6,5,1,1,0,0,18.0
26,1,0,1,0,0,1,0,0,0,3,30.0,15.0,4.00,5.56,.,2,7.0,16.0,1.06,0.91,0.98,4,2,1,1,0,0,45.0
27,2,1,1,0,1,0,0,0,0,2,4.0,10.0,4.00,5.00,0.0,1,11.0,10.0,1.06,0.85,2.34,4,3,1,1,0,0,14.0
30,2,0,1,0,0,1,0,0,0,4,6.0,4.0,2.00,5.00,0.0,1,11.0,10.0,1.06,1.06,2.53,2,2,1,1,0,0,10.0
31,2,0,1,0,1,0,0,0,0,2,4.0,16.0,3.00,5.25,0.0,2,11.0,11.0,1.03,1.06,2.56,4,3,1,1,0,0,20.0
33,3,0,1,0,0,1,0,0,0,0,12.0,20.0,4.00,5.00,7.0,2,6.0,17.0,1.02,1.07,0.95,5,4,1,1,0,0,32.0
36,4,0,1,0,1,0,0,0,0,0,8.0,12.0,4.00,5.50,0.0,2,10.5,13.0,1.02,0.91,2.57,2,2,1,1,0,0,20.0
77,3,0,1,0,0,1,0,0,0,0,6.0,50.0,4.00,5.00,100.0,2,6.0,19.0,1.18,1.07,1.17,6,5,1,1,0,0,56.0
78,3,1,1,0,0,1,0,0,0,0,13.0,10.0,3.00,5.00,0.0,2,6.0,17.0,1.12,1.02,1.02,4,2,1,1,0,0,23.0
81,4,0,1,0,0,1,0,0,0,4,25.0,13.0,3.00,5.00,95.0,2,10.0,12.0,1.06,0.98,1.06,2,2,1,1,0,0,38.0
82,4,0,1,0,0,1,0,0,0,6,8.0,14.5,3.00,5.00,0.0,2,10.5,13.5,1.06,1.03,1.06,2,2,1,1,0,0,22.5
83,4,0,1,0,0,1,0,0,0,2,12.5,20.0,2.00,5.00,11.0,2,10.5,13.5,1.06,0.98,2.13,2,2,1,1,0,0,32.5
85,1,0,1,0,1,0,0,0,1,3,7.0,20.0,3.00,5.50,1.0,1,9.0,12.5,1.12,1.02,1.02,5,4,1,1,0,0,27.0
89,1,1,1,0,1,0,0,0,0,2,10.0,6.0,3.00,5.00,0.0,2,7.0,16.0,1.09,0.95,1.04,3,2,1,1,0,0,16.0
94,2,0,1,0,1,0,0,0,0,2,0.0,25.0,5.00,5.00,0.0,3,11.0,10.0,1.06,0.80,2.56,.,.,1,1,0,0,25.0
103,4,0,1,0,0,1,0,0,0,2,12.5,10.0,3.00,5.00,50.0,2,10.5,11.5,0.91,0.85,0.95,2,2,1,1,0,0,22.5
112,4,0,1,0,0,1,0,0,0,0,4.0,26.0,3.00,5.00,80.0,2,10.0,14.0,1.06,0.98,1.06,2,2,1,1,0,0,30.0
128,2,1,1,0,1,0,0,0,0,3,6.5,7.5,2.00,5.00,.,2,11.0,11.0,1.06,0.85,2.34,4,2,1,1,0,0,14.0
129,3,0,1,0,1,0,0,0,0,3,20.0,20.0,3.00,5.25,0.0,2,6.0,16.0,1.10,1.00,0.74,6,4,1,1,0,0,40.0
131,3,0,1,0,1,0,0,0,0,2,15.0,25.0,4.00,5.50,10.0,2,6.0,17.0,1.06,1.06,1.06,5,2,1,1,0,0,40.0
139,4,0,1,0,1,0,0,0,0,0,,,2.00,5.50,.,2,10.5,12.5,0.95,0.95,1.06,2,1,1,1,0,0,
143,4,0,1,0,1,0,0,0,0,3,0.0,30.0,3.00,5.37,15.0,2,10.5,11.5,0.95,0.95,1.06,2,2,1,1,0,0,30.0
144,4,0,1,0,1,0,0,0,0,2,10.0,30.0,3.00,5.05,0.0,2,10.5,12.5,0.91,0.85,1.06,2,2,1,1,0,0,40.0
145,1,0,1,0,0,1,0,0,0,0,5.0,17.0,3.00,5.00,0.0,2,7.0,16.0,1.06,0.95,0.95,3,2,1,1,0,0,22.0
147,1,0,1,0,0,1,0,0,0,0,8.5,6.5,3.00,5.12,100.0,2,7.0,14.0,1.12,0.89,0.95,2,2,1,1,0,0,15.0
148,1,0,1,0,0,1,0,0,0,4,4.5,30.0,4.00,5.25,0.0,2,7.0,17.0,1.06,0.95,0.95,3,2,1,1,0,0,34.5
151,1,0,1,0,0,1,0,0,0,0,1.0,12.0,3.00,5.00,92.0,2,7.0,15.0,1.09,0.81,1.04,3,3,1,1,0,0,13.0
152,1,0,1,0,0,1,0,0,0,0,35.0,15.0,4.00,5.12,10.0,1,7.0,15.0,1.17,0.95,1.02,3,2,1,1,0,0,50.0
157,2,0,1,0,0,1,0,0,0,0,10.0,5.0,3.00,5.00,0.0,1,10.5,12.0,0.91,0.85,2.34,3,3,1,1,0,0,15.0
161,3,1,1,0,0,1,0,0,0,0,8.0,25.0,4.00,5.00,2.0,2,6.0,17.0,1.12,1.02,1.06,7,3,1,1,0,0,33.0
163,3,1,1,0,0,1,0,0,0,0,12.0,18.0,3.00,5.00,11.0,2,6.0,16.5,1.20,1.07,1.06,3,3,1,1,0,0,30.0
164,3,1,1,0,0,1,0,0,0,0,4.0,30.0,4.00,5.00,3.0,2,5.0,19.0,1.12,1.02,1.06,5,3,1,1,0,0,34.0
165,4,0,1,0,0,1,0,0,0,1,20.0,10.0,3.00,5.00,60.0,2,10.5,12.5,1.06,0.89,1.06,3,2,1,1,0,0,30.0
169,1,1,1,0,0,1,0,0,0,0,12.0,33.0,4.00,5.00,50.0,2,7.0,16.0,1.10,0.94,1.04,3,3,1,1,0,0,45.0
170,1,1,1,0,0,1,0,0,0,1,10.0,20.0,3.00,5.00,0.0,2,7.0,16.0,1.10,1.02,1.08,3,2,1,1,0,0,30.0
187,3,0,1,0,0,1,0,0,1,0,4.0,20.0,3.00,5.62,2.0,2,7.0,15.0,1.12,1.09,1.06,4,3,1,1,0,0,24.0
190,3,1,1,0,0,1,0,0,0,0,5.0,42.0,4.00,5.00,.,2,6.0,16.0,1.02,1.07,1.06,5,.,1,1,0,0,47.0
196,4,1,1,0,0,1,0,0,0,0,8.0,19.0,4.00,5.00,.,2,10.5,11.5,0.95,0.85,1.06,2,2,1,1,0,0,27.0
197,1,0,1,0,0,1,0,0,0,0,23.0,10.0,4.00,5.00,50.0,2,7.0,17.0,0.99,0.89,0.89,3,2,1,1,0,0,33.0
234,1,0,1,0,0,1,0,0,0,2,0.0,10.0,3.00,5.00,0.0,2,7.0,16.0,1.12,.,0.49,2,2,1,1,0,0,10.0
240,3,1,1,0,0,1,0,0,0,0,15.0,35.0,3.00,5.10,20.0,2,6.0,17.0,1.18,1.02,1.06,6,4,1,1,0,0,50.0
241,3,0,1,0,0,1,0,0,0,2,15.0,25.0,4.00,5.00,30.0,2,7.0,16.0,1.12,1.02,1.06,5,5,1,1,0,0,40.0
242,3,1,1,0,0,1,0,0,0,0,25.0,10.0,3.00,5.25,0.0,2,6.0,17.0,1.10,1.02,1.06,5,4,1,1,0,0,35.0
245,3,0,1,0,0,1,0,0,0,3,15.0,8.0,3.00,5.50,0.0,1,8.5,13.5,1.20,1.02,1.02,4,2,1,1,0,0,23.0
259,1,0,1,1,0,0,0,0,0,0,13.0,12.0,4.00,5.00,50.0,2,7.5,14.5,1.02,0.85,0.85,3,3,1,1,0,0,25.0
268,1,1,1,1,0,0,0,0,0,1,10.0,18.0,4.00,5.00,0.0,2,7.0,15.0,1.02,0.85,0.85,5,4,1,1,0,0,28.0
271,2,1,1,1,0,0,0,0,0,3,0.0,13.0,2.00,5.00,38.0,2,11.0,11.0,1.02,0.79,2.34,4,2,1,1,0,0,13.0
272,2,1,1,1,0,0,0,0,0,4,4.0,11.0,3.00,5.05,0.0,1,11.0,11.0,0.95,0.74,2.34,4,2,1,1,0,0,15.0
274,2,1,1,1,0,0,0,0,0,0,0.0,15.0,2.00,5.50,27.0,2,11.0,10.0,0.91,0.74,2.34,4,3,1,1,0,0,15.0
276,2,1,1,1,0,0,0,0,0,3,5.0,10.0,3.00,5.00,0.0,2,11.0,10.5,0.95,0.74,2.19,4,3,1,1,0,0,15.0
296,1,1,1,0,0,1,0,0,0,0,5.0,16.0,4.00,5.30,50.0,2,7.0,16.0,1.06,0.95,1.01,3,3,1,1,0,0,21.0
299,2,1,1,0,0,1,0,0,0,0,3.0,8.0,2.00,5.00,0.0,1,10.5,11.5,1.06,0.85,2.34,3,2,1,1,0,0,11.0
301,2,1,1,0,0,1,0,0,0,4,8.0,12.0,5.00,5.00,0.0,3,11.0,10.5,1.06,0.85,2.34,3,1,1,1,0,0,20.0
320,2,0,1,1,0,0,0,0,1,0,5.0,9.0,2.00,5.00,0.0,2,11.0,12.0,1.12,0.80,2.45,4,4,1,1,0,0,14.0
321,2,0,1,1,0,0,0,0,1,0,3.0,14.0,3.00,5.00,10.0,2,10.5,12.5,1.12,0.85,2.45,4,2,1,1,0,0,17.0
324,3,0,1,1,0,0,0,0,0,2,20.0,46.0,5.00,5.25,0.0,2,0.0,24.0,1.18,1.06,.,5,2,1,1,0,0,66.0
326,3,1,1,1,0,0,0,0,1,3,18.0,45.0,5.00,5.15,7.0,2,0.0,24.0,1.26,0.99,.,4,3,1,1,0,0,63.0
330,4,0,1,1,0,0,0,0,1,0,4.0,16.0,3.00,5.42,0.0,1,10.5,15.5,1.01,0.86,0.95,2,2,1,1,0,0,20.0
334,1,0,1,1,0,0,0,0,0,0,10.0,10.0,3.00,5.00,0.0,3,9.0,12.5,0.91,0.91,0.91,3,3,1,1,0,0,20.0
349,3,1,1,1,0,0,0,0,0,1,2.5,27.0,5.00,5.00,10.0,2,6.0,16.0,1.12,0.91,0.95,3,3,1,1,0,0,29.5
354,4,0,1,1,0,0,0,0,0,3,14.0,7.0,3.00,5.06,10.0,1,10.5,10.5,0.95,0.86,0.95,2,2,1,1,0,0,21.0
356,4,0,1,1,0,0,0,0,0,3,11.5,10.0,4.00,5.05,0.0,1,10.5,11.5,0.95,0.80,1.06,2,2,1,1,0,0,21.5
357,4,0,1,0,0,1,0,0,0,1,4.5,20.0,3.00,5.00,100.0,1,10.5,11.5,0.95,0.86,0.95,2,2,1,1,0,0,24.5
371,1,0,1,0,0,1,0,0,0,0,12.0,23.0,4.00,5.00,100.0,2,7.0,16.0,1.06,1.02,0.95,3,3,1,1,0,0,35.0
373,1,1,1,0,0,1,0,0,0,0,14.0,12.0,4.00,5.00,100.0,2,6.5,15.5,1.01,0.95,1.03,6,3,1,1,0,0,26.0
375,1,0,1,0,0,1,0,0,0,3,25.0,10.0,4.00,5.25,0.0,1,7.0,15.0,1.02,0.80,.,4,2,1,1,0,0,35.0
378,1,1,1,0,0,1,0,0,0,4,10.0,8.0,4.00,5.00,.,2,6.5,18.5,1.10,0.96,1.10,5,5,1,1,0,0,18.0
381,1,0,1,0,0,1,0,0,0,0,10.0,20.0,4.00,5.00,0.0,2,6.5,16.5,1.27,1.17,1.10,4,2,1,1,0,0,30.0
403,3,1,1,0,0,1,0,0,0,2,13.0,31.0,.,5.05,10.0,2,6.0,18.0,1.09,1.12,1.06,5,4,1,1,0,0,44.0
406,4,1,1,0,0,1,0,0,0,0,12.0,35.0,4.00,5.00,0.0,1,10.5,11.5,1.02,.,2.14,2,2,1,1,0,0,47.0
407,4,1,1,0,0,1,0,0,0,2,5.0,10.0,2.00,5.75,0.0,2,11.0,10.5,1.17,1.17,1.38,1,1,1,1,0,0,15.0
409,1,0,1,0,0,1,0,0,0,0,3.0,60.0,2.00,5.00,0.0,1,7.0,15.0,1.19,0.87,0.95,3,3,1,1,0,0,63.0
1,1,0,1,0,1,0,0,0,0,0,16.0,30.0,4.00,4.50,80.0,3,7.0,16.0,0.93,0.83,0.85,4,3,1,1,0,0,46.0
2,1,0,1,0,1,0,0,0,0,0,10.0,6.0,3.00,4.75,80.0,1,7.0,14.0,1.06,0.91,0.96,2,2,1,1,0,0,16.0
3,2,0,1,0,1,0,0,0,0,3,6.0,13.0,3.00,4.25,50.0,2,11.0,10.0,1.06,0.95,3.09,5,3,1,1,0,0,19.0
